"sk_grupo","sk_autor","sk_fechado_por","sk_sprint","sk_data_criacao","criado_em","sk_data_atualizacao","atualizado_em","sk_data_fechamento","fechado_em","sk_data_prazo","prazo_em","cartao_numero","titulo","descricao","situacao","peso","comentarios","tempo_estimado_s","tempo_gasto_s","responsaveis_ids","rotulos","grupo"
"1","14","12","1","20260423","2026-04-23T17:25:16.329Z","20260502","2026-05-02T03:00:41.795Z","20260501","2026-05-01T23:43:03.241Z","-1","","11","Requisitos Funcionais - Seção 3.1","Definir minimundo, atores e responsabilidades 

Descrever o contexto do sistema, quem interage com ele e quais são suas funções.

Elaborar requisitos funcionais priorizados (RF001...) 

Criar lista de funcionalidades claras, numeradas e organizadas por fluxo.","closed","","0","0","0","G01-A15","ART.03;CODE;M","G01"
"1","14","15","1","20260423","2026-04-23T17:27:58.346Z","20260502","2026-05-02T01:50:20.718Z","20260502","2026-05-02T01:50:20.584Z","-1","","12","Regras de negócio - Seção 3.1.2","Definir regras de negócio e associar aos RF 

Criar regras implementáveis e testáveis, conectando cada uma a um requisito funcional.","closed","","0","0","0","G01-A17","ART.03;CODE;M","G01"
"1","14","12","1","20260423","2026-04-23T17:30:51.215Z","20260502","2026-05-02T03:01:56.193Z","20260501","2026-05-01T23:43:05.135Z","-1","","13","Requisitos Não Funcionais (ISO 25010) - Seção 3.1.2","Definir RNFs para os 8 eixos com critérios mensuráveis

Especificar requisitos de usabilidade, desempenho, segurança, etc., com métricas claras e justificativas baseadas no contexto do parceiro.","closed","","0","0","0","G01-A16","ART.03;CODE;M","G01"
"1","14","12","1","20260423","2026-04-23T17:32:58.898Z","20260502","2026-05-02T03:01:37.694Z","20260501","2026-05-01T23:42:50.657Z","-1","","14","Diagrama de casos de uso - Seção 3.2.2"," Construir matriz RF → RN → Endpoint e validar consistência geral 

Garantir que todos os requisitos, regras, User Stories e fluxos estejam conectados e coerentes entre si ao longo do documento.","closed","","0","0","0","G01-A13","ART.03;CODE;M","G01"
"1","23","15","1","20260423","2026-04-23T17:34:00.437Z","20260423","2026-04-23T19:36:35.200Z","20260423","2026-04-23T19:36:35.078Z","20260423","2026-04-23","15","Análise SWOT( Informações)","","closed","","0","0","0","G01-A23","ART.01;NEGÓCIOS;P","G01"
"1","14","12","1","20260423","2026-04-23T17:34:32.708Z","20260501","2026-05-01T23:43:51.815Z","20260501","2026-05-01T23:43:51.693Z","-1","","16","User Case - Seção 3.2.2","","closed","","0","0","0","G01-A14","ART.03;CODE;M","G01"
"1","15","14","1","20260423","2026-04-23T18:35:47.365Z","20260428","2026-04-28T00:54:37.536Z","20260428","2026-04-28T00:54:37.397Z","-1","","17","Criação da imagem da matriz SWOT","","closed","","0","0","0","G01-A15","ART.01;DESIGN;M","G01"
"1","14","15","1","20260424","2026-04-24T02:41:39.203Z","20260502","2026-05-02T01:50:19.418Z","20260502","2026-05-02T01:50:19.295Z","-1","","18","Criação de imagem da Matriz de risco","Criação da imagem da matriz de risco com base nos tópicos relacionados à solução para o parceiro","closed","","0","0","0","G01-A14","ART.01;M;NEGÓCIOS","G01"
"1","14","15","1","20260427","2026-04-27T17:10:23.483Z","20260502","2026-05-02T01:50:16.551Z","20260502","2026-05-02T01:50:16.428Z","-1","","19","Fluxo de telas","","closed","","0","0","0","G01-A14","CODE;DESIGN;P","G01"
"1","15","14","1","20260427","2026-04-27T17:18:10.820Z","20260430","2026-04-30T01:39:57.928Z","20260429","2026-04-29T11:37:28.020Z","-1","","20","Criar as Personas","","closed","","0","0","0","G01-A15","ART.01;DOCUMENTATION;M","G01"
"1","12","14","1","20260427","2026-04-27T17:18:52.870Z","20260502","2026-05-02T01:51:32.233Z","20260502","2026-05-02T01:51:32.095Z","-1","","21","Criação da imagem das 5 forças de Poter's","","closed","","0","0","0","G01-A12","ART.01;DESIGN;DOCUMENTATION;M;NEGÓCIOS","G01"
"1","12","14","1","20260427","2026-04-27T17:22:18.041Z","20260502","2026-05-02T01:51:29.275Z","20260502","2026-05-02T01:51:29.162Z","-1","","22","Identação e modificação para voz passiva analítica da análise das 5 forças de Poter's","","closed","","0","0","0","G01-A12","ART.01;DOCUMENTATION;M;NEGÓCIOS","G01"
"1","14","14","-1","20260427","2026-04-27T17:45:09.228Z","20260502","2026-05-02T03:01:27.174Z","20260428","2026-04-28T16:52:33.281Z","-1","","23","Idealização do fluxo de telas","","closed","","0","0","0","G01-A16","ART.01;DESIGN;M","G01"
"1","16","15","-1","20260427","2026-04-27T17:47:45.685Z","20260502","2026-05-02T01:50:14.794Z","20260502","2026-05-02T01:50:14.656Z","-1","","24","Descrição da solução - 2.1.3","","closed","","0","0","0","G01-A13","ART.01;DOCUMENTATION;G;NEGÓCIOS","G01"
"1","12","14","1","20260428","2026-04-28T02:31:52.659Z","20260502","2026-05-02T01:51:41.884Z","20260502","2026-05-02T01:51:41.769Z","-1","","25","Criação da Persona 3 - Coordenador","","closed","","0","0","0","G01-A12","ART.01;DESIGN;DOCUMENTATION;M","G01"
"1","12","15","1","20260428","2026-04-28T02:32:52.787Z","20260502","2026-05-02T01:50:17.926Z","20260502","2026-05-02T01:50:17.799Z","-1","","26","Criação dos templates das 3 personas","","closed","","0","0","0","G01-A12","ART.01;DESIGN;DOCUMENTATION;G","G01"
"1","15","12","1","20260428","2026-04-28T17:00:40.516Z","20260501","2026-05-01T23:43:01.153Z","20260501","2026-05-01T23:43:01.028Z","-1","","27","Criar a imagem do canvas de valor","","closed","","0","0","0","G01-A15","ART.01;DESIGN;DOCUMENTATION;NEGÓCIOS;P","G01"
"1","12","14","1","20260428","2026-04-28T18:06:30.659Z","20260502","2026-05-02T01:51:40.597Z","20260502","2026-05-02T01:51:40.479Z","-1","","28","Preencher a seção 2.2 do wad refrente as personas da solução","","closed","","0","0","0","G01-A12","ART.01;DESIGN;DOCUMENTATION;M","G01"
"1","17","14","1","20260428","2026-04-28T18:50:52.405Z","20260504","2026-05-04T13:36:20.121Z","20260504","2026-05-04T13:36:19.950Z","-1","","29","Relacionar Requisitos Funcionais com Regras de Negócios na Seção 3.1.2","","closed","","0","0","0","G01-A15","ART.03;CODE;DOCUMENTATION;M","G01"
"1","14","12","1","20260429","2026-04-29T17:03:50.462Z","20260501","2026-05-01T23:42:58.373Z","20260501","2026-05-01T23:42:58.197Z","-1","","30","Use Case 2 - Seção 3.2.2","","closed","","0","0","0","G01-A14","ART.03;CODE;DOCUMENTATION;M","G01"
"1","85","15","1","20260429","2026-04-29T17:10:34.844Z","20260502","2026-05-02T01:50:18.680Z","20260502","2026-05-02T01:50:18.562Z","-1","","31","Redigir User Stories no WAD - Seção 2.3","","closed","","0","0","0","[externo]","ART.02;DESIGN;DOCUMENTATION;M","G01"
"1","17","15","1","20260429","2026-04-29T17:12:02.391Z","20260502","2026-05-02T01:50:17.182Z","20260502","2026-05-02T01:50:17.062Z","-1","","32","Organizar documents e assets","","closed","","0","0","0","G01-A17","DOCUMENTATION;P","G01"
"1","17","15","1","20260429","2026-04-29T17:40:47.316Z","20260502","2026-05-02T01:50:20.041Z","20260502","2026-05-02T01:50:19.915Z","-1","","33","Introdução da Regra de negócio","","closed","","0","0","0","G01-A17","DOCUMENTATION;P","G01"
"1","14","12","1","20260430","2026-04-30T01:31:34.019Z","20260501","2026-05-01T23:42:56.982Z","20260501","2026-05-01T23:42:56.869Z","-1","","34","Use Case alterações","","closed","","0","0","0","G01-A14","ART.03;CODE;DOCUMENTATION;M","G01"
"1","15","12","1","20260430","2026-04-30T01:37:54.454Z","20260501","2026-05-01T23:42:49.470Z","20260501","2026-05-01T23:42:49.464Z","-1","","35","Realizar a revisão do wad","","closed","","0","0","0","G01-A15","DOCUMENTATION;M","G01"
"1","12","14","1","20260430","2026-04-30T05:41:03.464Z","20260502","2026-05-02T03:02:35.997Z","20260502","2026-05-02T01:51:36.280Z","-1","","36","Realizar Identação dosartefatos 1, 2 e 3 do wad","","closed","","0","0","0","G01-A12","ART.01;ART.02;ART.03;DOCUMENTATION;P","G01"
"1","14","12","1","20260430","2026-04-30T05:43:26.261Z","20260501","2026-05-01T23:43:00.235Z","20260501","2026-05-01T23:43:00.005Z","-1","","37","Use Case - alteração de diagramas de caso de uso","","closed","","0","0","0","G01-A14","ART.03;CODE;DOCUMENTATION;G","G01"
"1","14","14","1","20260430","2026-04-30T10:12:41.131Z","20260502","2026-05-02T01:51:38.090Z","20260502","2026-05-02T01:51:37.970Z","-1","","38","Use Case - alteração de imagens","","closed","","0","0","0","G01-A12","ART.03;CODE;DOCUMENTATION;M","G01"
"1","14","15","1","20260430","2026-04-30T16:27:33.500Z","20260502","2026-05-02T03:00:15.397Z","20260502","2026-05-02T03:00:15.249Z","-1","","39","Use Case - Correção de imagens","","closed","","0","0","0","G01-A14","ART.03;CODE;DOCUMENTATION;G","G01"
"1","12","14","1","20260501","2026-05-01T17:23:34.796Z","20260502","2026-05-02T01:51:34.261Z","20260502","2026-05-02T01:51:34.143Z","-1","","40","Atulizações na seção 3.2.2 referente as casos de uso","","closed","","0","0","0","G01-A12","ART.03;DOCUMENTATION;G","G01"
"1","12","14","1","20260501","2026-05-01T20:20:05.689Z","20260502","2026-05-02T01:51:39.512Z","20260502","2026-05-02T01:51:39.394Z","-1","","41","Atualizar wad colocando fonte nas imagens e tabelas faltantes e adiciona-las a seção Anexos","","closed","","0","0","0","G01-A12","ART.01;ART.02;ART.03;DOCUMENTATION;M","G01"
"1","15","14","-1","20260502","2026-05-02T01:49:15.307Z","20260502","2026-05-02T03:02:48.611Z","20260502","2026-05-02T03:02:48.427Z","-1","","42","Organiza a ordem dos User stories de acordo com a prioridade","","closed","","0","0","0","G01-A15","ART.02;DESIGN;DOCUMENTATION;P","G01"
"1","15","14","1","20260502","2026-05-02T02:54:24.357Z","20260504","2026-05-04T13:36:16.899Z","20260504","2026-05-04T13:36:16.730Z","-1","","43","Adiciona as fontes nas imagens e revisa wad","","closed","","0","0","0","G01-A15","ART.01;DOCUMENTATION;P","G01"
"1","14","15","2","20260504","2026-05-04T14:11:56.043Z","20260514","2026-05-14T00:34:06.493Z","20260511","2026-05-11T17:05:01.562Z","-1","","44","Criar o diagrama de classes com notação UML - Seção 3.2.3","Diagrama de classes de domínio","closed","","0","0","0","G01-A17","ART.04;CODE;P","G01"
"1","14","13","2","20260504","2026-05-04T14:14:05.671Z","20260514","2026-05-14T00:33:48.926Z","20260512","2026-05-12T18:39:20.705Z","-1","","45","Adicionar multiplicidades em todos os relacionamentos - Seção 3.2.3","Diagrama de classes de domínio","closed","","0","0","0","G01-A17","ART.04;CODE;M","G01"
"1","14","15","2","20260504","2026-05-04T14:15:44.018Z","20260511","2026-05-11T17:05:00.363Z","20260511","2026-05-11T17:05:00.190Z","-1","","46","Representar associação entre as classes - Seção 3.2.3","Diagrama de classes do domínio","closed","","0","0","0","G01-A17","ART.04;CODE;P1","G01"
"1","14","15","2","20260504","2026-05-04T14:23:14.272Z","20260514","2026-05-14T00:33:56.480Z","20260511","2026-05-11T17:05:03.231Z","-1","","47","Representar agregação entre as classes - Seção 3.2.3","Diagrama de classes de domínio","closed","","0","0","0","G01-A17","ART.04;CODE;M","G01"
"1","14","13","2","20260504","2026-05-04T14:24:10.919Z","20260514","2026-05-14T00:33:29.796Z","20260512","2026-05-12T18:39:39.643Z","-1","","48","Representar composição entre as classes - Seção 3.2.3","Diagrama de classes de domínio","closed","","0","0","0","G01-A17","ART.04;CODE;PP","G01"
"1","14","13","2","20260504","2026-05-04T14:27:05.029Z","20260514","2026-05-14T00:33:40.168Z","20260512","2026-05-12T18:39:28.188Z","-1","","49","Representar herança entre as classes - Seção 3.2.3","Diagrama de classes de domínio","closed","","0","0","0","G01-A17","ART.04;CODE;PP","G01"
"1","16","15","2","20260504","2026-05-04T14:27:41.459Z","20260511","2026-05-11T14:39:14.144Z","20260511","2026-05-11T14:39:13.954Z","-1","","50","Estruturação da Ferramenta e Esboço Inicial das Telas","Configurar o G01-A26 no Figma/Whimsical e esboçar a estrutura inicial das telas com base no escopo do sistema.

Criar o G01-A26 na ferramenta escolhida, definir o sistema de grid e esboçar uma primeira versão das telas a partir do entendimento geral do sistema — sem depender do fluxo de P6 ainda. 

O esboço será refinado na task seguinte após o alinhamento. 

Entregáveis:

1. G01-A26 criado e organizado na ferramenta (Figma, Whimsical etc.)
2. Sistema de grid configurado
3. Esboço inicial das telas principais","closed","","0","0","0","G01-A16","ART.03;DESIGN;P7","G01"
"1","14","15","2","20260504","2026-05-04T14:28:21.186Z","20260514","2026-05-14T00:32:32.590Z","20260514","2026-05-14T00:32:32.467Z","-1","","51","Inserir o diagrama finalizado na Seção 3.2.3 do WAD","","closed","","0","0","0","G01-A17","ART.04;CODE;P","G01"
"1","14","15","2","20260504","2026-05-04T14:30:57.370Z","20260511","2026-05-11T14:39:49.634Z","20260511","2026-05-11T14:39:49.628Z","-1","","52","Criar o diagrama de sequência UML - Seção 3.2.4","Diagrama de sequência UML","closed","","0","0","0","G01-A15","ART.04;CODE;M","G01"
"1","14","13","2","20260504","2026-05-04T14:32:42.349Z","20260506","2026-05-06T18:09:30.835Z","20260506","2026-05-06T18:09:30.702Z","-1","","53","Representar o fluxo Controller -> Service -> Repository -> Banco - Seção 3.2.4","Diagrama de sequência UML","closed","","0","0","0","G01-A15","ART.04;CODE;M","G01"
"1","17","13","2","20260504","2026-05-04T14:33:15.004Z","20260514","2026-05-14T00:33:18.385Z","20260512","2026-05-12T18:40:02.752Z","-1","","54","Diagrama de Classes 3.2.3","","closed","","0","0","0","G01-A17","ART.4;CODE;PP","G01"
"1","14","14","2","20260504","2026-05-04T14:33:46.828Z","20260511","2026-05-11T14:39:24.710Z","20260511","2026-05-11T14:39:24.592Z","-1","","55","Identificar e marcar as mensagens síncronas - Seção 3.2.4","Diagrama de sequência UML","closed","","0","0","0","G01-A15","ART.04;CODE;M","G01"
"1","14","13","2","20260504","2026-05-04T14:34:57.159Z","20260507","2026-05-07T18:22:44.382Z","20260507","2026-05-07T18:22:44.261Z","-1","","56","Identificar e marcar as mensagens assíncronas - Seção 3.2.4","Diagrama de sequência UML","closed","","0","0","0","G01-A15","ART.04;CODE;P","G01"
"1","16","15","2","20260504","2026-05-04T14:35:37.707Z","20260511","2026-05-11T14:39:25.147Z","20260511","2026-05-11T14:39:25.024Z","-1","","57","Desenho Final das Telas com Grid e Organização Visual","Finalizar os wireframes de todas as telas priorizadas, com grid aplicado e elementos visuais suficientes para explicar as funcionalidades

Com base no esboço de UX.01.1 e nas User Stories mapeadas por P6, refinar e completar os wireframes. Aplicar organização visual consistente. Manter fidelidade de wireframe — sem excessos de detalhamento que gerem deméritos.

Entregáveis:

1. Wireframes completos das telas priorizadas
2. Grid aplicado em todos os elementos (critério de até 4,0 pontos)
3. Elementos visuais claros e sem excesso de detalhamento","closed","","0","0","0","G01-A16","ART.03;DESIGN;P7","G01"
"1","16","16","2","20260504","2026-05-04T14:35:42.840Z","20260516","2026-05-16T06:57:10.135Z","20260516","2026-05-16T06:57:10.130Z","-1","","58","Revisão Final com P6 e Publicação do Link","Validar coerência das telas com o fluxo de P6 e disponibilizar o link público como entregável final

Alinhar os wireframes finalizados com P6 para confirmar que as telas representam corretamente as sequências de navegação documentadas por ela. Após aprovação, tornar o link da ferramenta público para uso de P8 na documentação do WAD.

Entregáveis:

1. Wireframes validados e coerentes com o fluxo de P6
2. Link público da ferramenta (Figma, Whimsical etc.) disponibilizado para P8","closed","","0","0","0","G01-A16","ART.03;DESIGN;P7","G01"
"1","14","13","2","20260504","2026-05-04T14:36:03.622Z","20260507","2026-05-07T18:20:37.613Z","20260507","2026-05-07T18:20:37.482Z","-1","","59","Representar todos os retornos com linhas tracejadas - Seção 3.2.4","Diagrama de sequência UML","closed","","0","0","0","G01-A15","ART.04;CODE;P","G01"
"1","14","13","2","20260504","2026-05-04T14:37:03.305Z","20260506","2026-05-06T17:50:54.907Z","20260506","2026-05-06T17:50:54.789Z","-1","","60","Inserir o diagrama finalizado na seção 3.2.4 do WAD","","closed","","0","0","0","G01-A15","ART.04;CODE;PP","G01"
"1","14","15","2","20260504","2026-05-04T14:38:25.382Z","20260530","2026-05-30T01:47:24.039Z","20260530","2026-05-30T01:47:23.912Z","-1","","61","Definir notação de uso para o diagrama (Chen ou Crow's Foot) - Seção 3.6.1","Modelo de Entidade-Relacionamento conceitual","closed","","0","0","0","G01-A23","ART.04;CODE;P3","G01"
"1","14","15","2","20260504","2026-05-04T14:39:49.887Z","20260507","2026-05-07T17:54:45.343Z","20260507","2026-05-07T17:54:45.237Z","-1","","62","Identificar e listar todas as entidades do domínio - Seção 3.6.1","Modelo Entidade-Relacionamento conceitual","closed","","0","0","0","G01-A23","ART.04;CODE;P","G01"
"1","14","15","2","20260504","2026-05-04T14:40:59.862Z","20260507","2026-05-07T17:54:43.106Z","20260507","2026-05-07T17:54:42.929Z","-1","","63","Definir os atributos de cada entidade - Seção 3.6.1","Modelo Entidade-Relacionamento conceitual","closed","","0","0","0","G01-A23","ART.04;CODE;M","G01"
"1","14","16","2","20260504","2026-05-04T14:42:34.545Z","20260605","2026-06-05T03:36:57.708Z","20260605","2026-06-05T03:36:57.388Z","-1","","64","Verificar consistência interna do diagrama - Seção 3.6.1","Modelo Entidade-Relacionamento conceitual","closed","","0","0","0","G01-A23","ART.04;CODE;P3","G01"
"1","14","16","2","20260504","2026-05-04T14:43:55.044Z","20260605","2026-06-05T03:36:57.951Z","20260605","2026-06-05T03:36:57.572Z","-1","","65","Inserir o diagrama na seção 3.6.1 do WAD","","closed","","0","0","0","G01-A23","ART.04;CODE;P3","G01"
"1","14","15","2","20260504","2026-05-04T14:44:41.764Z","20260507","2026-05-07T17:54:30.172Z","20260507","2026-05-07T17:54:29.926Z","-1","","66","Criar o DER com base no ER conceitual e diagrama de classes - Seção 3.6.2","Diagrama Entidade-Relacionamento","closed","","0","0","0","G01-A14","ART.04;CODE","G01"
"1","14","15","2","20260504","2026-05-04T14:46:57.329Z","20260507","2026-05-07T17:54:32.770Z","20260507","2026-05-07T17:54:32.449Z","-1","","67","Adicionar cardinalidades explícitas nos dois lados de cada relacionamento - Seção 3.6.2","Diagrama Entidade-Relacionamento","closed","","0","0","0","G01-A14","ART.04;CODE","G01"
"1","14","17","2","20260504","2026-05-04T14:48:01.926Z","20260512","2026-05-12T18:40:48.473Z","20260512","2026-05-12T18:40:48.276Z","-1","","68","Identificar e marcar todas as PKs (Primary keys) - Seção 3.6.2","Diagrama Entidade-Relacionamento","closed","","0","0","0","G01-A14","ART.04;CODE;P","G01"
"1","14","17","2","20260504","2026-05-04T14:49:04.455Z","20260512","2026-05-12T18:40:47.592Z","20260512","2026-05-12T18:40:47.263Z","-1","","69","Identificar e marcar todas as FKs (Foreign keys) - Seção 3.6.2","Diagrama Entidade-Relacionamento","closed","","0","0","0","G01-A14","ART.04;CODE;P","G01"
"1","14","15","2","20260504","2026-05-04T14:50:05.627Z","20260511","2026-05-11T14:39:23.174Z","20260511","2026-05-11T14:39:23.031Z","-1","","70","Verificar coerência com o diagrama de classes (seção 3.2.3) - Seção 3.6.2","Diagrama Entidade-Relacionamento","closed","","0","0","0","G01-A14","ART.04;CODE;P","G01"
"1","14","17","2","20260504","2026-05-04T14:51:03.963Z","20260514","2026-05-14T00:33:09.012Z","20260512","2026-05-12T18:40:46.150Z","-1","","71","Inserir o diagrama finalizado na Seção 3.6.2 no WAD","","closed","","0","0","0","G01-A14","ART.04;CODE;M","G01"
"1","14","12","2","20260504","2026-05-04T14:52:08.520Z","20260529","2026-05-29T22:32:24.215Z","20260529","2026-05-29T22:32:23.929Z","-1","","72","Preencher a seção 3.2.1 e criar o diagrama de arquitetura","Modelo relacional e modelo físico (migration.sql)","closed","","0","0","0","G01-A15","CODE;DOCUMENTATION;M","G01"
"1","14","12","2","20260504","2026-05-04T14:53:41.134Z","20260601","2026-06-01T17:19:09.133Z","20260601","2026-06-01T17:19:09.033Z","-1","","73","Adicionar constraints NOT NULL em todos os campos obrigatórios - Seção 3.6.3","Modelo Relacional e modelo físico (migration.sql)","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T14:55:06.230Z","20260601","2026-06-01T17:19:12.326Z","20260601","2026-06-01T17:19:12.128Z","-1","","74","Adicionar constraints UNIQUE onde aplicável - Seção 3.6.3","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T14:56:13.405Z","20260601","2026-06-01T17:19:14.943Z","20260601","2026-06-01T17:19:14.841Z","-1","","75","Adicionar constraints FOREIGN KEY com referências corretas - Seção 3.6.3","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T17:05:55.059Z","20260601","2026-06-01T17:19:17.425Z","20260601","2026-06-01T17:19:17.261Z","-1","","76","Adicionar constraints CHECK onde aplicável - Seção 3.6.3","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T17:06:33.823Z","20260601","2026-06-01T17:19:29.429Z","20260601","2026-06-01T17:19:29.297Z","-1","","77","Criar índices com CREATE INDEX nas colunas relevantes - Seção 3.6.3","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T17:07:20.938Z","20260601","2026-06-01T17:19:25.845Z","20260601","2026-06-01T17:19:25.740Z","-1","","78","Garantir que a ordem de criação das tabelas respeita as dependências - Seção 3.6.3","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T17:08:03.676Z","20260601","2026-06-01T17:19:23.016Z","20260601","2026-06-01T17:19:22.913Z","-1","","79","Testar a execução do script sem erros - Seção 3.6.3","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","12","2","20260504","2026-05-04T17:08:41.368Z","20260601","2026-06-01T17:19:21.046Z","20260601","2026-06-01T17:19:20.823Z","-1","","80","Inserir o modelo relacional e o arquivo migration.sql na seção 3.6.3 do WAD","","closed","","0","0","0","[externo]","ART.04;BUG;CODE;P5","G01"
"1","14","16","2","20260504","2026-05-04T17:09:17.615Z","20260513","2026-05-13T18:23:33.502Z","20260513","2026-05-13T18:23:33.383Z","-1","","81","Listar as USer Stories priorizadas - Seção 3.3","","closed","","0","0","0","G01-A12","ART.05;DESIGN;P6","G01"
"1","14","16","2","20260504","2026-05-04T17:10:22.535Z","20260513","2026-05-13T18:23:34.342Z","20260513","2026-05-13T18:23:34.231Z","-1","","82","Definir as sequências de interação para cada User Story priorizada - Seção 3.3","","closed","","0","0","0","G01-A12","ART.05;DESIGN;P6","G01"
"1","14","16","2","20260504","2026-05-04T17:11:12.802Z","20260513","2026-05-13T18:23:35.135Z","20260513","2026-05-13T18:23:35.022Z","-1","","83","Mapear a lógica de navegação de telas - Seção 3.3","","closed","","0","0","0","G01-A12","ART.05;DESIGN;P6","G01"
"1","14","13","2","20260504","2026-05-04T17:11:58.524Z","20260516","2026-05-16T02:21:36.952Z","20260516","2026-05-16T02:21:36.840Z","-1","","84","Documentar o fluxo em um diagrama - Seção 3.3","","closed","","0","0","0","G01-A12","ART.04;DESIGN","G01"
"1","14","12","2","20260504","2026-05-04T17:13:05.894Z","20260516","2026-05-16T02:19:55.991Z","20260516","2026-05-16T02:19:55.987Z","-1","","85","Exportar e inserir as imagens do wireframe na seção 3.3 do WAD","","closed","","0","0","0","G01-A13","ART.04;DESIGN","G01"
"1","14","12","2","20260504","2026-05-04T17:13:46.987Z","20260516","2026-05-16T02:19:37.488Z","20260516","2026-05-16T02:14:06.183Z","-1","","86","Inserir o link público da ferramenta na seção 3.3","","closed","","0","0","0","G01-A13","ART.04;DESIGN","G01"
