grupo,mr_numero,titulo,descricao,situacao,criado_em,atualizado_em,merged_em,fechado_em,branch_origem,branch_destino,autor_id,merged_por_id,revisores_ids,responsaveis_ids,e_rascunho,comentarios,sprint,rotulos
G01,11,docs(pastas): organizando pasta assets dentro de documents e arrumando o caminho das imagens #32,,merged,2026-04-29T17:50:14.293Z,2026-04-29T18:53:13.169Z,2026-04-29T18:53:13.276Z,,docs/pastas/#32,main,G01-A17,[externo],,G01-A17,0,0,,
G01,12,Docs/introducao regras de negocio/#33,,merged,2026-04-29T18:16:19.361Z,2026-04-29T18:53:14.382Z,2026-04-29T18:53:13.256Z,,docs/introducao-regras-de-negocio/#33,main,G01-A17,[externo],,G01-A17,0,0,,
G01,13,docs/wad/redigir-user-storys/#31,,merged,2026-04-29T18:20:44.665Z,2026-04-30T01:15:06.086Z,2026-04-30T01:15:05.396Z,,docs/wad/redigir-user-storys/#31,main,[externo],G01-A14,,,0,0,,
G01,14,docs/wad/Use-Case/#30,Use Case de acordo com os requisitos feito,merged,2026-04-29T18:55:20.213Z,2026-04-30T01:37:10.024Z,2026-04-30T01:37:09.622Z,,docs/wad/Use-Case/#30,main,G01-A14,G01-A15,,G01-A14,0,0,Sprint 01,ART.03;CODE;DOCUMENTATION
G01,15,dosc/wad: altera o Use Case e adiona imagem de diagrama de Use Case,,merged,2026-04-30T02:27:44.020Z,2026-04-30T02:43:49.922Z,2026-04-30T02:43:49.173Z,,docs/wad/Use-Case-alteracao/#34,main,G01-A14,G01-A12,,G01-A14,0,0,Sprint 01,ART.03;CODE;DOCUMENTATION
G01,16,docs(wad):atualiza RNF de acordo com criterios de avaliação e organiza todo o...,Atualiza RNF de acordo com criterios de avaliação e organiza todo o docs para atender os criterios de avaliação #35,merged,2026-04-30T02:48:53.832Z,2026-04-30T02:56:52.629Z,2026-04-30T02:56:51.812Z,,docs/WAD/revisao/#35,main,G01-A15,G01-A14,,,0,0,,
G01,17,docs/wad: altera conteúdo do Use Case,,merged,2026-04-30T04:10:21.798Z,2026-04-30T04:48:07.910Z,2026-04-30T04:48:07.319Z,,docs/wad/Use-Case-alteracao-fluxo-principal,main,G01-A14,G01-A12,,G01-A14,0,0,Sprint 01,ART.03;CODE;DOCUMENTATION
G01,18,docs/wad: altera imagens do Use Case,,merged,2026-04-30T08:30:28.594Z,2026-04-30T10:10:35.557Z,2026-04-30T10:10:34.724Z,,docs/wad/alteracoes-diagrama-de-caso-de-uso/#37,main,G01-A14,G01-A12,,G01-A14,0,0,Sprint 01,ART.03;CODE;DOCUMENTATION
G01,19,docs/wad: altera imagens de Use Case,,merged,2026-04-30T11:53:32.192Z,2026-04-30T11:53:48.951Z,2026-04-30T11:53:48.228Z,,docs/wad/alteracao-imagem-Use-Case/#38,main,G01-A14,G01-A12,,G01-A14,0,0,Sprint 01,ART.03;CODE;DOCUMENTATION
G01,20,docs/wad: altera as imagens do Use Case,,merged,2026-05-01T18:55:41.502Z,2026-05-01T19:43:09.608Z,2026-05-01T19:43:08.905Z,,docs/wad/alteracao-imagem-Use-Case-correcao/#39,main,G01-A14,G01-A12,,G01-A14,0,0,Sprint 01,ART.03;CODE;DOCUMENTATION
G01,21,"docs(wad): identa a as seções 1, 2 e 3","Identa as seções que estão nos artefatos 1, 2 e 3",merged,2026-05-01T20:17:42.402Z,2026-05-02T01:33:42.514Z,2026-05-02T01:33:41.746Z,,docs/wad/identar-documentacao/#36,main,G01-A12,G01-A14,,,0,0,,
G01,22,Docs/wad/atualizar secoes do documento/#41,adicona imagens e tabelas aos anexos,merged,2026-05-01T23:42:07.623Z,2026-05-02T01:20:14.116Z,2026-05-02T01:20:13.437Z,,docs/wad/atualizar-secoes-do-documento/#41,main,G01-A12,G01-A14,,,0,0,,
G01,23,docs(wad):organiza os US em ordem de prioridade e adiciona a fonte em todas as imagens #42,Mudei a ordem de prioridade dos US,merged,2026-05-02T02:46:49.176Z,2026-05-02T02:47:32.376Z,2026-05-02T02:47:31.694Z,,docs/wad/Altera-ordem-prioridade-US#42,main,G01-A15,G01-A14,,,0,0,,
G01,24,docs(wad):adiciona a fonte e revisa todo o wad #43,Revisei o wad e fiz alterações,merged,2026-05-02T02:55:15.764Z,2026-05-02T02:59:40.213Z,2026-05-02T02:59:39.249Z,,docs/wad/adiciona-fonte-imagens,main,G01-A15,G01-A14,,,0,0,,
G01,25,Docs/wad/adiciona modelo logico/#104,,merged,2026-05-05T18:32:08.756Z,2026-05-06T02:11:25.569Z,2026-05-06T02:11:24.961Z,,docs/wad/adiciona-modelo-logico/#104,main,[externo],G01-A14,,,0,0,,
G01,26,Docs/wad/cria diagrama uml,,merged,2026-05-06T02:10:14.359Z,2026-05-06T02:11:10.911Z,2026-05-06T02:11:10.509Z,,docs/wad/Cria-diagrama-UML,main,G01-A15,G01-A14,,,0,0,,
G01,27,docs/wad/Adiciona-tabela-logica,Adicionei uma nova sequência UML,merged,2026-05-07T18:32:34.300Z,2026-05-07T18:39:33.499Z,2026-05-07T18:39:32.807Z,,docs/wad/Adiciona-tabela-logica,main,G01-A15,G01-A14,,,0,0,,
G01,28,feat(src): adicionando template de mvc #106,,merged,2026-05-11T18:13:52.042Z,2026-05-11T18:19:21.220Z,2026-05-11T18:19:20.483Z,,feat/src/adiciona-template/#106,main,G01-A17,G01-A14,,,0,0,,
G01,29,Cria template do arquivo raiz e SRC #110,,merged,2026-05-11T18:19:01.378Z,2026-05-11T18:21:15.329Z,2026-05-11T18:21:14.702Z,,feat/scr/migration.sql/adicionar-modelo-fisico,main,[externo],G01-A14,,,0,0,,
G01,30,altera textos e imagens dentro do WAD,,merged,2026-05-12T12:36:51.777Z,2026-05-12T17:36:35.659Z,2026-05-12T17:36:34.760Z,,docs/documentos/revisa-documento-WAD/#109,main,G01-A14,G01-A17,,G01-A14,0,0,Sprint 02,CODE;DOCUMENTATION
G01,31,Feat/g01/reformula template,Olhar com atencao,merged,2026-05-12T17:31:44.874Z,2026-05-12T17:35:38.500Z,2026-05-12T17:35:37.659Z,,feat/g01/reformula-template,main,[externo],G01-A17,,,0,0,,
G01,32,docs(wad): adicionar o diagrama #51,,merged,2026-05-13T12:40:28.737Z,2026-05-13T17:58:56.549Z,2026-05-13T17:58:55.660Z,,docs/adicionar-diagrama-de-classes/#51,main,G01-A17,[externo],,G01-A17,0,0,Sprint 02,DOCUMENTATION
G01,33,feat:reformula template e migrate.ts,,merged,2026-05-13T17:31:22.922Z,2026-05-14T17:34:34.717Z,2026-05-14T17:34:33.981Z,,feat/g01/reformula-template,main,[externo],G01-A17,,[externo],0,0,Sprint 02,ART.04;CODE;G
G01,34,docs(wad): adciona seccao 3.6.2 #117,,closed,2026-05-14T17:39:33.276Z,2026-05-14T17:43:52.436Z,,2026-05-14T17:43:52.524Z,feat/wad/diagrama_entidaderelacionamento/#117,main,G01-A23,,,,0,1,,
G01,35,docs(wad): adciona seccao 3.6.2 #117,,merged,2026-05-14T18:00:52.532Z,2026-05-14T18:01:11.759Z,2026-05-14T18:01:11.378Z,,feat/docs/Modelo_Entidade-Relacionamento/#117,main,G01-A23,[externo],,,0,0,,
G01,36,Docs/wad/revisa wad,Mudei a parte textual de muitas seções,merged,2026-05-14T18:59:19.876Z,2026-05-15T02:20:20.267Z,2026-05-15T02:20:18.757Z,,docs/wad/revisa-wad,main,G01-A15,G01-A14,,,0,0,,
G01,37,docs/WAD/ altera-secao-3/#90,,merged,2026-05-15T07:23:42.125Z,2026-05-15T10:24:29.744Z,2026-05-15T10:24:29.387Z,,docs/WAD/correcao-documentacao-secao-3/#90,main,G01-A14,G01-A15,,G01-A14,0,0,Sprint 02,ART.05;CODE;DOCUMENTATION
G01,38,Fix/scr/revisao pasta source/#123,,merged,2026-05-15T19:09:46.872Z,2026-05-15T19:15:54.619Z,2026-05-15T19:15:54.044Z,,fix/scr/revisao-pasta-source/#123,main,[externo],G01-A15,,[externo],0,0,Sprint 02,ART.04;CODE_REVIEW;G
G01,39,Docs/adicionar wireframe/#85,,merged,2026-05-16T02:17:45.240Z,2026-05-16T02:22:16.252Z,2026-05-16T02:22:15.837Z,,docs/adicionar-wireframe/#85,main,G01-A13,G01-A12,,,0,0,Sprint 02,ART.04
G01,40,docs(wad): adiciona o diagrama sequencial de solicitacoes de alteracoes #127,,merged,2026-05-19T18:45:04.364Z,2026-05-25T17:11:27.735Z,2026-05-25T17:11:27.283Z,,docs/diagrama-sequencia-solicitacao/#127,main,G01-A13,G01-A14,,,0,0,Sprint 03,ART.9;CODE;G
G01,41,Feat/testes automatizados ponderada,,merged,2026-05-20T17:47:01.641Z,2026-05-20T17:47:20.640Z,2026-05-20T17:47:19.902Z,,feat/testes-automatizados-ponderada,main,G01-A17,G01-A14,,G01-A17,0,0,Sprint 03,CODE
G01,42,feat(src): gerenciamento de solicitacoes,"Implementa modulo backend de aprovacoes em camadas, migration da tabela solicitacoes, testes de integracao com PostgreSQL real e documentacao de rastreabilidade.",closed,2026-05-21T13:33:02.878Z,2026-05-21T13:54:00.581Z,,2026-05-21T13:54:00.635Z,feat/gerenciamento-de-solicitaçao/#114,dev,G01-A23,,G03-A02,G01-A23,0,0,,
G01,43,feat(src): gerenciamento de solicitacoes,"Implementa modulo backend de aprovacoes em camadas, migration da tabela solicitacoes, testes de integracao com PostgreSQL real e documentacao de rastreabilidade. Target branch: dev.",closed,2026-05-21T13:36:43.308Z,2026-05-21T13:54:00.477Z,,2026-05-21T13:54:00.524Z,feat/gerenciamento-de-solicitacao-dev-114,dev,G01-A23,,,G01-A23,0,0,,
G01,44,feat(src): gerenciamento de solicitacoes #144,"Implementa modulo backend de aprovacoes em camadas, migration da tabela solicitacoes, testes de integracao com PostgreSQL real e documentacao de rastreabilidade. Target branch: dev. Issue: #144.",merged,2026-05-21T13:53:51.887Z,2026-05-25T17:19:56.082Z,2026-05-25T17:19:53.343Z,,feat/gerenciamento-de-solicitacao-dev-144,dev,G01-A23,G01-A14,G03-A02,G01-A23,0,0,,
G01,45,Feat/gerenciamento de contrato,ponderada de programacao.,merged,2026-05-21T14:13:05.876Z,2026-05-25T17:36:20.083Z,2026-05-25T17:36:20.258Z,,feat/gerenciamento-de-contrato,main,G01-A16,G01-A17,G03-A02,G01-A16,0,0,,
G01,46,Feat/cadastrar fornecedor,"
Este Pull Request consolida a implementação e a homologação do fluxo de **Cadastro de Fornecedores** estruturado sob o padrão arquitetural MVC integrado a camadas de Service e Repository. O objetivo principal é fornecer evidências objetivas de que o sistema atende aos requisitos de negócio por meio de uma suíte de testes de integração automatizados (caixa-preta).

- **Resolução de Dependências:** Configuração e instalação das dependências essenciais do ecossistema de testes que estavam omissas na branch (`express`, `pg`, `jest`, `supertest`, `ts-jest` e respectivas tipagens).
- **Camada de Persistência Real:** Desenvolvimento da migration `02_create_fornecedores.sql` para a correta estruturação das tabelas e colunas no PostgreSQL, garantindo o alinhamento estrito com as queries executadas pelo Repository.
- **Isolamento de Estados:** Criação de rotinas auxiliares no arquivo `testDb.ts` para assegurar o ciclo de vida limpo do banco de dados, utilizando `TRUNCATE` no gancho `beforeEach` para mitigar efeitos colaterais entre os cenários.

A suíte cumpre integralmente os requisitos mínimos de entrega, operando com sucesso contra uma instância física na nuvem (Supabase):

1. **:white_check_mark: OK (Sucesso):** Validação do fluxo de ponta a ponta, garantindo o retorno do status HTTP `201 Created` e a integridade do payload de resposta.
2. **:no_entry: RN (Regra de Negócio):** Verificação do mecanismo de corte na camada de Service, rejeitando tentativas de cadastros duplicados com o status HTTP `409 Conflict`.
3. **:no_entry_sign: 400 (Payload Inválido):** Homologação da camada de validação do Controller, interceptando requisições ausentes de campos obrigatórios (como `nome`) antes que atinjam o Repository.
4. **:floppy_disk: DB (Persistência Auditada):** Verificação física de dados via consulta direta (`SELECT`) no banco de dados real, comprovando o estado persistido do fornecedor cadastrado.

## Algumas Diretrizes:

- **Execução dos Testes:** Diante da ausência do script atalho no `package.json`, a suíte deve [externo] instanciada via terminal através do comando composto: `npx ts-node src/database/migrate.ts && npx jest src/tests/controllers/fornecedor.integration.spec.ts --preset ts-jest --runInBand`",merged,2026-05-21T14:37:16.326Z,2026-05-25T18:02:00.161Z,2026-05-25T18:01:59.151Z,,feat/cadastrar-fornecedor,main,G01-A15,G01-A14,G03-A02,,0,0,,
G01,47,Feat/consulta de fornecedores/#142,,merged,2026-05-21T14:53:22.454Z,2026-05-25T18:22:33.844Z,2026-05-25T18:22:34.024Z,,feat/Consulta-de-Fornecedores/#142,main,G01-A17,G01-A17,G03-A02,G01-A17,0,0,Sprint 03,CODE;DOCUMENTATION
G01,48,testes realizados,testes realizados para a controller de atualização de produção,merged,2026-05-21T14:53:49.453Z,2026-05-25T18:22:34.876Z,2026-05-25T18:22:34.982Z,,feat/atualiza-producao-ponderada/#147,main,G01-A14,G01-A17,G03-A02,G01-A14,0,0,Sprint 03,
G01,49,Feat/vizualizar dashboard kpi/#145,,merged,2026-05-21T14:54:42.538Z,2026-05-25T18:22:35.361Z,2026-05-25T18:22:35.387Z,,feat/vizualizar-dashboard-kpi/#145,main,G01-A13,G01-A17,G03-A02,,0,0,,
G01,50,feat: teste de login,fiz o teste de login,merged,2026-05-21T15:01:28.661Z,2026-05-25T18:22:35.782Z,2026-05-25T18:22:35.813Z,,feat/login,main,G01-A12,G01-A17,G03-A02,,0,0,,
G01,51,merge da main para a develop,merge da main para a develop,merged,2026-05-25T11:29:08.434Z,2026-05-25T18:23:15.476Z,2026-05-25T18:23:15.579Z,,main,develop,G01-A16,G01-A17,G01-A14,G01-A16,0,0,Sprint 03,
G01,52,fix: voltando commit bugado #149,,merged,2026-05-25T17:18:46.133Z,2026-05-25T17:19:16.756Z,2026-05-25T17:19:16.286Z,,fix/voltando-commit/#149,main,G01-A17,G01-A14,G01-A14,G01-A17,0,0,Sprint 03,CODE
G01,53,"testes realizados para a controller de atualização de produção, incluindo a...","testes realizados para a controller de atualização de produção, incluindo a importação correta do serviço e do sistema de log, além da correção do nome da classe do serviço.",merged,2026-05-25T18:22:03.197Z,2026-05-25T18:22:34.695Z,2026-05-25T18:22:33.828Z,,integra-partes-sistema,main,G01-A14,G01-A17,,G01-A14,0,0,Sprint 03,ART.8;CODE
G01,54,Dev,,merged,2026-05-25T18:49:44.258Z,2026-05-25T19:06:48.765Z,2026-05-25T19:06:48.334Z,,dev,main,G01-A14,G01-A13,,G01-A14,0,0,Sprint 03,ART.8;CODE
G01,55,docs(wad): adiciona o diagrama da vizualizacao do dashboard #128,"## O que foi feito

Adição do diagrama de sequência do fluxo de vizualização de dashboard à seção 3.2.4 do Web Application Document (WAD). Consiste em uma imagem do diagrama e uma breve descrição do mesmo.

## Como testar

Abrir o arquivo /documentos/wad.md no seu editor de escolha e vizualizá-lo, o teste pode [externo] considerado bem-sucedido se o texto estiver presente e de acordo com o diagrama, além da imagem carregar corretamente.",merged,2026-05-26T12:54:33.232Z,2026-05-28T00:09:07.812Z,2026-05-28T00:09:07.355Z,,docs/diagrama-vizualizacao-dashboard/#128,main,G01-A13,G01-A14,,,0,0,Sprint 03,ART.9;CODE
G01,56,docs(wad): adiciona o diagrama sequencial de gerenciamento de contrato #129,"## O que foi feito

Adição do diagrama de sequência do fluxo de gerenciamento de contrato à seção 3.2.4 do Web Application Document (WAD). Consiste em uma imagem do diagrama e uma breve descrição do mesmo.

## Como testar

Abrir o arquivo /documentos/wad.md no seu editor de escolha e vizualizá-lo, o teste pode [externo] considerado bem-sucedido se o texto estiver presente e de acordo com o diagrama, além da imagem carregar corretamente.",merged,2026-05-26T12:58:09.139Z,2026-05-28T00:09:22.640Z,2026-05-28T00:09:22.119Z,,docs/diagrama-gerenciamento-contrato/#129,main,G01-A13,G01-A14,,,0,0,Sprint 03,ART.9;CODE
G01,57,pasta views,,merged,2026-05-26T14:43:50.788Z,2026-05-26T18:47:57.855Z,2026-05-26T18:47:57.422Z,,develop,main,G01-A14,G01-A17,,G01-A14,0,0,Sprint 03,CODE
G01,58,frontend/teste-testa-endpoint/#125,testa endpoints documentados,merged,2026-05-26T18:44:37.150Z,2026-05-26T18:46:44.121Z,2026-05-26T18:46:43.459Z,,frontend/teste,develop,G01-A14,G01-A17,,G01-A14,0,0,Sprint 03,ART.8;CODE
G01,59,docs(wad):Adiciona a seção 3.6.4 #154,Adicionei toda a seção de lógica proposicional,merged,2026-05-27T17:24:40.011Z,2026-05-27T17:39:51.301Z,2026-05-27T17:39:50.864Z,,wad/preenche-seção-3.6.4,main,G01-A15,G01-A12,,,0,1,,
G01,60,Feat/atividade wireframe/#151,"Criei uma branch para implementar os endpoints das entidades `Fornecedor` e `Parceiro`, seguindo a arquitetura MVC. A estrutura foi organizada em camadas (`Controller → Service → Repository → Banco de Dados`), separando responsabilidades entre recebimento das requisições, regras de negócio, acesso aos dados e persistência.

* Criação dos controllers para exposição das APIs;
* Implementação da camada de service com regras de negócio;
* Implementação dos repositories para acesso aos dados;
* Integração com o banco de dados;
* Estrutura organizada seguindo padrão MVC e separação de responsabilidades.",merged,2026-05-27T17:34:13.629Z,2026-05-27T17:48:23.961Z,2026-05-27T17:48:23.556Z,,feat/atividade-wireframe/#151,main,G01-A17,G01-A12,G01-A12,G01-A17,0,1,Sprint 03,CODE
G01,61,docs/wad/preenche a seccao 3.2.7 do wad artefato 9 #153,inclui a seçao 3.2.7 para revisao,merged,2026-05-27T17:55:11.072Z,2026-05-28T17:58:59.414Z,2026-05-27T18:10:34.102Z,,docs/Arquitetura_em_Camadas-secao-3-2-7-ART9/#153,dev,G01-A23,G01-A12,,G01-A23,0,1,,
G01,62,feat(src): adiciona todos os endpoints faltantes #156,"## Resumo do Merge Request

Este Merge Request tem como objetivo completar a implementação dos endpoints pendentes documentados na **Matriz de Rastreabilidade** (Tabela 14 do arquivo `wad.md`), garantindo o total alinhamento das rotas do sistema com as Regras de Negócio (RNs) e Requisitos Funcionais (RFs) exigidos no G01-A26.

## Mudanças Realizadas

A arquitetura **MVC** (Controller, Service, Repository e Routes) foi estritamente seguida para a construção de todos os módulos. As seguintes adições e correções foram aplicadas:

### 1. Autenticação e Validação (RF001 e RF002)

- Ajuste da rota de login para **`POST /auth/login`**.
- Implementação da rota **`GET /auth/validate`** para validação de tokens JWT.
- _Arquivos afetados: `login.routes.ts`, `login.controller.ts`._

### 2. Gestão de Usuários (RF003 e RF004)

- Criação do fluxo completo (Repository, Service, Controller, Route) para entidades de usuário.
- Criação da rota **`POST /usuarios`**: Garante o cadastro inicial com a senha criptografada em hash e o status definido automaticamente como `""pendente""` (RN04).
- Criação da rota **`PATCH /usuarios/:id/aprovacao`**: Permite a mudança de status do usuário (ex: de pendente para `""ativo""`) de acordo com as regras de aprovação (RN05).
- **Correção de Banco de Dados**: Foi ajustada a modelagem no repositório de usuários (de `usuarios` para `usuario` e propriedades como `name` para `nome`, `permissoes` para `perfil`) de forma a sincronizar com a respectiva migration do banco.

### 3. Entidades - Parceiros e Fornecedores (RF005, RF006 e RF007)

- Extensão de `entidade.repository.ts`, `entidade.service.ts` e `entidade.controller.ts` para suportar inserção e listagem.
- Implementação da rota **`POST /parceiros`** e **`GET /parceiros`**.
- Implementação da rota **`POST /fornecedores`** e **`GET /fornecedores`**.
- _A listagem ignora os registros deletados de forma lógica (flag `deletado = false`), respeitando as regras de integridade (RN13 e RN06)._

### 4. Integração e Configuração Global

- Registro final de `userRoutes.ts` e `login.routes.ts` no `src/app.ts` para que todas as rotas fiquem operacionais.

## Como Testar as Alterações

1. Faça o checkout para esta branch: `[externo] checkout feat/terminando-endpoints/#156`
2. Certifique-se de estar com o banco de dados atualizado e o arquivo `.env` configurado.
3. Inicie a aplicação com `npm run dev`.
4. Pode-se validar utilizando _Thunder Client_, _Postman_ ou via terminal invocando os seguintes endpoints localmente na porta 3000:
   - `GET http://localhost:3000/parceiros`
   - `POST http://localhost:3000/usuarios`
   - `POST http://localhost:3000/auth/login`

## Issues Relacionadas

- Resolve / Fechando a issue: **#156**

---",merged,2026-05-27T18:20:09.819Z,2026-05-27T18:27:10.137Z,2026-05-27T18:27:09.860Z,,feat/terminando-endpoints/#156,dev,G01-A17,G01-A12,G01-A12,G01-A17,0,1,Sprint 03,ART.8;CODE
G01,63,Wad/atualiza seção 3.1.3,"Atualizei todos os RF, RNFs e RN do nosso G01-A26",merged,2026-05-27T18:54:06.040Z,2026-05-28T00:09:45.541Z,2026-05-28T00:09:44.728Z,,wad/atualiza-seção-3.1.3,main,G01-A15,G01-A14,,,0,0,,
G01,64,refactor(src): refatora o código e nomenclatura dos arquivos #160,"## Descrição do Merge Request

Este Merge Request aplica uma refatoração arquitetural na camada da API (src) com o objetivo de alinhar o G01-A26 estritamente ao guia de **Boas Práticas** (`boaspraticas.md`) e garantir a presença de **100% dos endpoints exigidos** na Matriz de Rastreabilidade (`wad.md`).

### O que foi feito?

* **Padronização de Nomenclatura (Regra 4)**
  * Renomeamos todos os controllers, services, repositories e routes que usavam `CamelCase` ou `PascalCase` para a convenção oficial **`recurso.camada.ts`** (ex: `LoginService.ts` -\> `login.service.ts`, `userController.ts` -\> `user.controller.ts`).
  * Extensão de testes corrigida: de `*.specaaaa.ts` para `*.spec.ts`.
* **Limpeza de Código Morto e Duplicado (Regra 6)**
  * Deleção de rotas redundantes de `fornecedor` e `parceiro`, consolidando toda a regra de negócios de maneira unificada através da suíte **`entidade.*.ts`**.
  * Limpeza de classes e objetos defasados da suíte de `aprovacao` e do `sistemalog.service.ts`.
* **Tipagem Forte e Segurança (Regra 7)**
  * Implementação de generics no driver do banco (`pool.query<Record<string, [externo]>>`) dentro do `entidade.repository.ts`, impedindo que os controllers lidassem com retornos opacos do tipo `any`.
  * Ajuste nas payloads de banco de dados, incluindo a coluna requerida `nome` ao método de cadastro de fornecedores para evitar erros de restrição de não-nulo (`NOT NULL constraint`) na tabela do Postgres.
* **Conformidade de Endpoints (WAD - RF005 a RF009)**
  * Restabelecidos os métodos esquecidos de criação e listagem (`POST` e `GET`) para parceiros e fornecedores no `entidade.controller.ts`.
  * Centralização de imports no `app.ts`, livrando o Entrypoint de duplicações de Middleware (`app.use()`).

### Testes Realizados

Foi executada uma bateria de requisições de ponta-a-ponta testando o servidor em execução (`npm run dev`). Todos os endpoints exigidos estão operando com retornos HTTP adequados (200, 201) sem ocasionar quebras (_crash_) do serviço:

- [x] `GET /parceiros` e `POST /parceiros`
- [x] `GET /fornecedores` e `POST /fornecedores`
- [x] `POST /usuarios` e `PATCH /usuarios/:id/aprovacao`
- [x] `POST /auth/login` e `GET /auth/validate`
- [x] `GET /auditoria`

### Issues Relacionadas

* Resolve a Task **#160**",merged,2026-05-27T18:58:54.975Z,2026-05-28T00:07:14.728Z,2026-05-28T00:07:14.458Z,,refactor/refatorando-com-boas-praticas/#160,dev,G01-A17,G01-A14,,G01-A17,0,0,Sprint 03,CODE
